hour,T DEG C,RH,month,location name
0,25.5,87.9,1,Singapore
1,25.5,87.9,1,Singapore
2,25.5,87.9,1,Singapore
3,25,90.0,1,Singapore
4,25,90.0,1,Singapore
5,24.5,92.1,1,Singapore
6,24.5,92.1,1,Singapore
7,25,90.0,1,Singapore
8,25,90.0,1,Singapore
9,26,85.8,1,Singapore
10,27,81.7,1,Singapore
11,28,77.5,1,Singapore
12,28.5,75.4,1,Singapore
13,28.9,73.8,1,Singapore
14,28.5,75.4,1,Singapore
15,28.5,75.4,1,Singapore
16,28.2,76.7,1,Singapore
17,28,77.5,1,Singapore
18,27.5,79.6,1,Singapore
19,27,81.7,1,Singapore
20,26.5,83.8,1,Singapore
21,26,85.8,1,Singapore
22,25.8,86.7,1,Singapore
23,25.5,87.9,1,Singapore
0,27.5,79.6,7,Singapore
1,27.5,79.6,7,Singapore
2,27.2,80.8,7,Singapore
3,27,81.7,7,Singapore
4,26.5,83.8,7,Singapore
5,26.5,83.8,7,Singapore
6,26.7,82.9,7,Singapore
7,26.8,82.5,7,Singapore
8,27,81.7,7,Singapore
9,28,77.5,7,Singapore
10,29,73.3,7,Singapore
11,30,69.2,7,Singapore
12,31,65.0,7,Singapore
13,32,60.8,7,Singapore
14,31,65.0,7,Singapore
15,31,65.0,7,Singapore
16,30,69.2,7,Singapore
17,29,73.3,7,Singapore
18,28.5,75.4,7,Singapore
19,28,77.5,7,Singapore
20,27.5,79.6,7,Singapore
21,27.5,79.6,7,Singapore
22,27.5,79.6,7,Singapore
23,27.5,79.6,7,Singapore
